docid,text,person_id,first_name,last_name,date,Party,Constituency,label
text57883,"I thank the right hon. and learned Gentleman, who made some sensible points, in addition to some slightly party political ones. On the political points,  it is worth remembering that the waves of coronavirus we have seen across western Europe in the last few weeks we are also seeing here, with the additional pressure of the new variant of the virus. Most people understand that.The right hon. and learned Gentleman asked about support for the self-employed. We have already given, I think, £13.7 billion to help the self-employed in particular, as part of a massive package of support for jobs and livelihoods across the whole of the UK totalling £260 billion. We will continue to support families through universal credit; as he knows, there has been an uplift of £1,000 at least until April. The eviction ban is under review. There has been an above-inflation pay increase for public sector workers; in particular, nurses have had a 12.8% increase over the last few years.The right hon. and learned Gentleman asked about laptops and devices, and quoted a figure of 50,000. In fact, 560,000 have gone to schools. My right hon. Friend the Secretary of State for Education will make a statement later about what we will do to support teachers and pupils. I repeat my immense thanks to them and to families who are now working so hard in unexpected circumstances to teach kids at home. I also thank the mobile companies and the BBC for what they are doing to assist. The House will hear more later about the BTEC exams. Obviously, we must be fair to those who are taking BTECs, and we appreciate the hard work they have done.The right hon. and learned Gentleman asked a good question about borders. It is vital that we protect our borders and protect this country from the readmission of the virus from overseas. That is why we took tough action in respect of South Africa when the new variant became apparent there and we will continue to take whatever action is necessary to protect this country from the readmission of the virus.I am grateful to the right hon. and learned Gentleman for supporting the vaccination programme. I must say that I do remember the derision with which he attacked the vaccine taskforce and that efforts that it went to to secure huge supplies.",10999,Boris,Johnson,06/01/2021,Conservative,Uxbridge and South Ruislip,1
text19067,"I want to make three brief points. First, I welcome the Prime Minister’s statements last night and here today. For me, this is about making a balanced assessment of risk and learning to live with risk while exercising our judgment and — as the Prime Minister put it very well — good, old-fashioned British common sense about how our actions could impact our society and, yes, the NHS.I have to say that I am saddened by the different emphasis from different parts of the UK overnight, but nations will exit lockdown at different speeds, as the infection rate varies. That is fine; it is called devolution. If we could not cope with difference within the United Kingdom, we should not have gone down the road of  devolution in the first place. Having questions and stress testing a political decision is right. That is our job here on the Back Benches. Constantly picking for political advantage, and having what I suspect is a far worse argument in public than in private, is not.Secondly, on the help offered, there has been a herculean effort on behalf of the Government on the furlough scheme and the self-employed help scheme. I welcome the fact that the latter is there as a safety blanket for over 90% of self-employed workers. However, that is not the case for those new to self-employment. I have a constituent who was made redundant less than a year ago and who put all his redundancy money into his new business. He is a wealth creator, but he is not eligible. If people are earning over the £50,000 profit limit — not a huge amount of money in many parts of the country — they are not eligible. Equally, if someone is the director of a limited company, they are not eligible. I understand that it is difficult, and as I have said to the Chancellor in this House before, the answer may be inelegant, but there has to be an answer. Her Majesty’s Revenue and Customs is not averse to taking back what it thinks has been wrongly claimed. We need to get help to people now.On the furlough scheme, I have to say that if we are to avoid the cliff edge as it draws to the end of its natural life, in its original form anyway, flexibility has to be the key — flexibility on the percentage paid perhaps, but only if that goes hand in hand with flexibility on the “no work while furloughed” rule; and flexibility on sectors, too, if the Treasury goes down that route. For instance, a food manufacturer in my constituency whose principal customers are classed as hospitality would be stuck between a rock and a hard place if the furlough scheme were withdrawn for manufacturing only. Flexibility must surely see the furlough scheme extended to hospitality businesses and their suppliers in that example. The Prime Minister hinted today about a statement from the Chancellor tomorrow on the furlough scheme, and I will be listening carefully.Finally, the Royal Hampshire County Hospital is in my constituency, one of Florence Nightingale’s original hospitals, and I cannot praise it enough. The leadership, under Alex Whitfield, and staff there — many are my constituents — have just gone, as always, above and beyond. We, the local MPs, have a weekly call with the acute sector, primary care, the commissioners and the director of public health for Hampshire, and they keep us beautifully updated on the work that they are doing. The progress on delayed discharge in my hospital has been nothing short of remarkable. My trust is down to single figures on its delayed discharge numbers, and that is unheard of. Why? Because we have flattened the division between the decision making and the money trail within the NHS. We must not, we cannot go back: if it is to be health and social care, we cannot go back. On cancer, we must remember the people who have not presented to the NHS during this pause. We do not want to ditch the 75% ambition on cancer in the long-term plan.",24901,Steve,Brine,11/05/2020,Conservative,Winchester,3
text32723,"It is a pleasure to follow the hon. Member for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry). He gave us a real tour de force of all that is available in his constituency.I add my voice to those of Members across this House in thanking our magnificent key workers for all they have done throughout this crisis. Having worked with many of them, I know the sacrifices they have made to support our most vulnerable. I also pay tribute to our charity workers, volunteers, councillors and local groups who have stepped up to provide support to other residents, their neighbours, friends and people across the Scunthorpe constituency.In particular, I pay tribute to my friend and colleague, Councillor Derek Longcake who, sadly, died from coronavirus. My sympathies are with Derek’s wife Janet, his family and the families of all those who have lost friends and relatives to this dreadful virus.I want to mention the manner in which people in my constituency have handled themselves over the past months. Scunthorpe has been a real class act, and I am prouder than ever to represent my home town. In particular, it was a pleasure to meet Jude and Tilly in Central Park last week to look at Connor the covid snake, which is a collection of more than 400 stones painted by local people as a permanent reminder and a tribute to the community spirit shown during coronavirus.In that spirit, I have a couple of matters to bring to the attention of the Government before we rise for the summer. First, which will come as no surprise to Members across the House, is the protection of our steel industry. I started my role here when British Steel was on the brink and, frankly, we would not be making steel today were it not for the support that the Government gave to us in Scunthorpe. Many people have told me over recent months that they will never, ever forget that support. Moving forward, I ask the Government to continue to be a friend to steel and to do all they can to promote the use of our UK steel in national projects. It is absolutely right that we must build, build, build, but to do that, we must make, make, make, and I ask the Government to put that at the forefront of their plans.There is not a Member of the House who could go even one day without steel. It truly is the backbone of our nation and we owe it to people across this land to make sure that our hospitals, schools and railways, such as HS2, are made from the very best steel that our money can buy — that is, UK steel. My right hon. Friend the Prime Minister is bang on — UK steel should be at the front of the queue, and I believe that the best way to do that is through the adoption of the steel charter.I would also like to mention Scunthorpe General Hospital. To be frank, it needed a few quid spending on it when I was born there in 1985, and it is certainly now in need of an upgrade. Despite the tremendous support given to combat coronavirus, the infrastructure at the hospital is under huge pressure. Our local health team and I are working on a proposal, which I hope will be submitted in the coming weeks, and I trust that the Government will give it the urgent consideration that it needs. I thank the Secretary of State for Health for his commitment to visit Scunthorpe Hospital, which was very warmly received.Finally, I would like to register my thanks to the Secretary of State for Transport for working with me to discuss plans to widen and improve safety on the A15. I am sure my hon. Friend the Minister would agree that road safety and infrastructure improvement are a crucial element of the levelling-up agenda. I have seen and been personally involved in the improvements and plans for Scunthorpe and its towns and villages over the last months. We have continued to find ways to progress works, despite the difficulties that we have all faced, from improvements to playgrounds, to measures to mitigate the traffic problems on Berkeley Circle, to working with our local council leaders. I have seen the dedication and commitment of local people as they work to make our area better. Coronavirus may have slowed us down very slightly, and it may have changed the way that we have worked, but I see a real commitment to our area and that commitment is totally undimmed by coronavirus. I look forward to working with the Government to address these matters over the summer.",25804,Holly,Mumby-Croft,22/07/2020,Conservative,Scunthorpe,3
text55836,"This has been a terrible year for our high streets, with covid-19 restrictions affecting over 95% of the UK, and many people working from home and choosing to shop online. A perfect storm has formed, which has forced many high street shops, pubs, restaurants and cafés to close and has left others to struggle. We should remember that our high streets were struggling even before anyone had ever heard of covid-19. In the seven years up to the end of 2019, footfall in our high streets had fallen by 10%. Over the past decade, there has been a 21% rise in online retail sales, which have soared to 33% of all sales during the pandemic.Last Friday, I visited a florist, a fishmonger and a delicatessen — all small independent businesses in my constituency of Enfield, Southgate — and they told me they were struggling. Some of their concerns, aside from accessing the covid-19 business grants, included business rates, high rents, unfair competition from online competitors and the physical state of high streets.We should remember that going to the local high street to shop or eat was never just a transactional activity; it also had a social side to it. It was a focal point for the local community, and it needs to become that once again. The whole high street experience needs to be radically different from online shopping. I am a big fan of pop-up shops, but they often have to overcome bureaucratic obstacles to set up. The state of the high street also needs to be improved. Local councils are best placed to deliver both those asks.I heard the Minister talk about the local high streets taskforce. The £3.6 billion towns fund is welcome, although it will not help all towns, but when compared to the £15 billion that the Local Government Association estimates has been cut from local authority budgets in the past decade, it is a case of putting a sticking plaster over a gaping wound.As consumer habits evolve and change, the high street also needs the flexibility to change, too. That is why I urge the Government to rethink any relaxation of planning laws and permitted development rights to make it easier to convert retail and office space into accommodation. To make our high streets sustainable, there needs to be a critical mass in footfall. By reducing the number of retail units, that critical mass hits a tipping point beyond which there is no return. The Government have said much about levelling up, but unless they level up taxation for online transactions, the high street will forever be at a disadvantage, unable to compete with the online tech giants.In conclusion, our high streets are struggling and we need urgent action to support them, not only through the covid pandemic, but beyond. To do that, we need to support not only our small retailers and the hospitality sector, but local councils and communities. We need to have a long-term vision for our high streets, and make sure that the one in 10 empty shopfronts is open and ready for business, allowing our high streets to thrive once again.",25676,Bambos,Charalambous,10/12/2020,Labour,"Enfield, Southgate",2
text29415,"Today the Chancellor has put forward another excellent set of measures to help the UK, and no more so than in West Dorset, where 97% of our businesses are small or micro-sized. We need urgent attention to our connectivity, with 1.42 megabits per second broadband speed compared with 200 megabits per second here in London, and single railway lines across the county with a three-hourly rail frequency. Our economy in West Dorset could have its sprinting potential thoroughly unleashed, not only by the measures the Chancellor has announced today but with further infrastructure investment.The current wave of remote working presents an enormous opportunity for West Dorset. It has shown that business and commerce does not have to revolve around London, or, indeed, other cities. People can be even more productive from their kitchen table in West Dorset than in urban office blocks. Why have conditioned and recirculated air from the polluted cities when you can breathe the fresh air of West Dorset? If sustained, this shift in working habits can be the catalyst in levelling up the rural and coastal communities of this nation, creating many well-paid opportunities for local people — but we need fast and reliable broadband that is accessible at home and at work.Local enterprise partnerships should be coming into their own at this point, but from my experience in West Dorset, LEPs vary in their capability to deliver any economic benefits through infrastructure investment. May I therefore urge the Minister, perhaps along with his colleagues in the Ministry of Housing, Communities and Local Government, to review the LEPs’ deliverability against their remit and, where necessary, drive the radical reform required to deliver the Government’s agenda?I welcome the Chancellor’s announcements on stamp duty. However, rural economies are not well served by building enormous new housing developments like the one planned for the outskirts of Dorchester. These developments quash the economic potential of building modest numbers of new houses in our villages, which is what will ensure the future of our local schools, shops, pubs, garages and parish churches.The economic damage inflicted by coronavirus is indeed tragic, but it now presents us with the opportunity to build back better — to stimulate the economy and to address rural isolation, social deprivation and the issues that have challenged our rural and coastal communities for many decades.",25918,Chris,Loder,08/07/2020,Conservative,West Dorset,4
text67828,"Yesterday, we saw in black and white the impact of this Government’s mishandling of the coronavirus crisis, right there at the front of the Office for Budget Responsibility’s report: the UK has suffered the worst economic crisis of any major economy. The Chancellor has tried to dismiss that damning fact as a mere accounting quirk, but the OBR was clear: even when all G7 countries are measured in the same way, the UK’s economic crisis has still been the worst.Perhaps it is understandable why the Chancellor wishes to muddy the waters on this point, because the OBR is scathing in its assessment of the reasons why we have had such a severe crisis, and he has played a leading role. In its words, the primary reason is:“simply that the UK has experienced higher rates of infection, hospitalisations, and deaths from the virus than other countries.”The Government were too slow into lockdown not once, but three times. The Labour party urged the Government last autumn to listen to the scientific advice and bring in a short circuit-breaker over half-term to contain the virus, but the Chancellor allegedly overruled the scientists and insisted that a lockdown was not needed. When it came, it was longer and more severe. As the OBR notes:“The UK has spent longer in stricter lockdowns than other advanced economies”.The fact is that the Chancellor just does not get it. He thinks that we can separate out the health crisis from the economic crisis and trade one off against the other, but failing to get on top of the public health crisis only makes the impact on jobs and businesses worse. The OBR was clear on that point:“a greater prevalence of the virus also raises voluntary social distancing which…account for around half of the total decline in economic activity associated with the pandemic.”It is a damning report card. Coronavirus may have closed large parts of our economy, but this Government crashed it.Yesterday’s Budget was an opportunity for the Chancellor to make amends, to end the irresponsible decision making that has defined the past year, and to reverse the economic mismanagement that has defined the past 10 years. It should have been a Budget to rebuild the foundations, but it merely papered over the cracks. After the year  that we have just had, it should have put the NHS and social care system front and centre, rewarded our key-worker heroes, and set out a plan to strengthen a system too often horribly exposed by the virus. But incredibly, the Chancellor made just a single mention of the NHS and said nothing whatever about social care. Worse still, despite saying that he would be honest with the country about the challenges that we face, he buried a planned cut of £30 billion in resource spending for the Department of Health and Social Care in the fine print of the Red Book.We know that, when it comes to the pressures on our NHS, this coming year will look different from the last — thank goodness — but it is extraordinary to think that there will be no ongoing costs, either as a result of the pandemic or of the backlog and waiting times that have built up. More than 4.5 million people are currently on the waiting list for treatment — the highest number on record. The Government are burying their heads in the sand, and it will be our NHS staff who feel the pressure from that denial of reality. Those cuts are an appalling reward for workers who have given absolutely everything over the past year to help our country through this crisis. It is hard to think of a greater long-term challenge than that of social care and yet, despite being almost two years on from the Prime Minister saying that he had a plan to fix the crisis in social care once and for all, this Chancellor and this Government had absolutely nothing to say about it.As for health, so for education: the Government have planned zero additional covid-related spending for schools this coming year. It is extraordinary to believe that there will be no extra costs for our schools as they try to support a generation of schoolchildren who have missed such a chunk of their education.That sums up this Budget: nothing to say on the biggest issues the country is facing; out of touch with what people are going through right now; and absolutely no plan for what to do next.Let us take the jobs crisis. The Department for Work and Pensions should be straining every sinew to help get people into work, yet the kickstart programme that the Secretary of State oversees is helping just one in every 100 eligible young people. The restart programme for the long-term unemployed has not even begun and will not be operating at full capacity until this time next year, by which time unemployment is expected to have hit over 2 million. This Budget should have been a moment to get a grip on these failing schemes, to supercharge them so that they were doing everything possible to help those who have lost their jobs, and to give people a genuine jobs promise, as Labour has urged. But what did we get? We got tinkering around the edges with traineeships and apprenticeships, when we know that £330 million of apprenticeship levy funding is still sitting unspent, and a two-year programme to pilot the use of new technologies to help people find work. That is not a plan. That does not come near the scale of the response needed to help the 1.7 million people who were already out of work, or the hundreds of thousands more who risk losing their jobs in the months to come. Can the Secretary of State honestly look me in the eye and say that this amounts to a plan for jobs?Moreover, where will the new jobs come from? With the hosting of COP26 this year and the eyes of the world upon us, the UK has an enormous opportunity  to show how an active Government making smart investments can help us emerge from the economic crisis and meet our net zero ambitions at the same time. Labour has called for £30 billion of investment to be accelerated into the next 18 months to support the creation of 400,000 new green jobs, but, unbelievably, yesterday’s Budget took us backwards. The Government have actually cut half a billion pounds of capital investment from their plans for the coming year, and the green homes grant, the flagship programme of the Chancellor’s summer statement last year, seems to have disappeared from the face of the earth, after more than 75% of its funding was cut and it was found to have been costing jobs.We needed a plan both to create the jobs of the future and to put in place employment programmes worthy of their name, to help get people into work. We got neither. So instead, the OBR predicts that we are on course to see unemployment rise to 6.5%, with more than 2 million people out of work. What is the Secretary of State choosing to do, just at the moment that the furlough scheme is set to end and joblessness peaks? She is going to cut £20 a week from social security, right when people need it most. She is going to take our out-of-work support back to the lowest level since the 1990s — to cut the lifeline. Is she happy with the Chancellor’s decision to extend the uplift to universal credit by only six months? Does she believe that that is in the best interests of people in this country, both in and out of work, who rely on that money? Is she happy with the decision to give those on working tax credit a lump sum of £500 and then nothing further? I ask, because she has previously said that there were big downsides to a one-off payment, and that previous experience is that,“a steady sum of money would probably be more beneficial to claimants and customers”.While we are focusing on the holes that the right hon. Lady’s Government have torn in our safety net, can she explain why her Government have chosen to cut statutory sick pay in real terms next year? It was already at one of the lowest levels in Europe, and her colleague the Health Secretary has already admitted he could not live on it. It has quite clearly acted as a major barrier to people’s self-isolating when required, as the Government tacitly admitted by bringing in a whole new payments system, with its own problems. So why on earth would the Government cut that support back even further in the middle of a pandemic?Sadly, that is of a piece with the Government’s failure to understand what so many people are going through right now. The cut to universal credit that looms in six months’ time is just one part of a triple hammer blow that the Government are hitting families with this year. They have also frozen the pay of our key workers for everyone earning above £18,000 — a real-terms pay cut — and they are forcing councils across the country to hike council tax by up to 5%.The Labour party is clear on this: this Budget was not the time for tax rises. That view is shared by a range of economic experts, from the International Monetary Fund and the OECD internationally, to the CBI here in the UK. A triple hammer blow of tax rises and pay freezes now and a social security cut later in the year is not only incredibly unfair on families who have gone through so much, but economically illiterate. It means that those families will be forced to tighten their belts, to spend less in small businesses and on their high  streets, and the recovery will take longer. Of course, that has all taken place while we have seen waste and mismanagement from the Government on an industrial scale — from £22 billion on a test and trace system that has not worked for months, to procurement rules being suspended, and those who have political connections being 10 times more likely to win contracts than those who have not.Despite that profligacy for some, there is the prospect of further pain to come for others, with the Chancellor’s decisions yesterday combining with others since the start of the pandemic to mean £14 billion-worth of cuts to planned public service spending starting next year, rising to £16.5 billion after that.The Chancellor promised “openness” and “honesty” at this Budget. Well, let me ask the Secretary of State for some openness and honesty now. Where are those cuts going to fall? Will they be felt in fewer police officers, fewer further education opportunities for young people, poorer quality social care for the elderly? What action will the Government take to protect people when their income tax personal allowance is frozen next year, especially once the right hon. Lady’s Department has taken away £20 a year from social security, when many of those in the public sector will have seen their pay frozen, when many other people’s wages are continuing to stagnate, and when council tax has, of course, increased? Will her Government be ready to look at this issue again in the next Budget if required? Why are her Government scheduling the freezing of the personal allowance to take place before increases in corporation tax?People have a right to know what is waiting over the horizon, because it looks an awful lot like what has come before. It looks an awful lot like a return to a failed economic model that saw us end up with 3.6 million people in insecure work, 4 million children living in poverty, and one in four families with less than £100 in savings. That economic model failed even by its own measures. Severe and repeated cuts to our public services did not result in the Government meeting a single one of their legally binding fiscal targets. They did not stop national debt rising and nearly doubling before the pandemic hit.We cannot go back to that broken model, with its crumbling foundations. The British people will not accept it. That is why the Budget should have been a moment to lay the foundations for the long term, with a relentless focus on supporting new jobs across the entire UK, supporting our high streets to thrive, protecting family finances, and backing our key worker heroes, but here the Government were singularly lacking in ambition. Labour had called on the Government to support the creation of 100,000 new businesses over the next five years, to harness the UK’s entrepreneurial spirit and set us on the path for growth. Instead, we got a so-called super allowance for investment.We all want to see more investment in this country, not least because the Conservatives took us into this crisis with the lowest level in the whole of the G7, but the fact is that the new allowance is just the necessary consequence of the Conservative party finally acknowledging that its 10-year experiment with slashing corporation tax until we were an international outlier has failed. Two years ago, the Prime Minister said that“every time corporation tax has been cut in this country it has produced more revenue”.Yesterday’s Red Book told a more accurate story, predicting that the new rate would bring in £17.2 billion a year by the end of the forecast period. That is a damning indictment of a core tenet of Conservative economic policy making for the last 10 years. The fact is that by moving the rate back up in two years’ time, aligning us with our international peers, as Labour has long called for, the Chancellor has created a cliff edge that might otherwise have prompted firms to delay investment and further damage the recovery. Action to incentivise and protect investment right now is essential; it is not innovative.The Chancellor’s grand plan for our future recovery had two further planks, of course: the levelling-up fund and freeports. On the first, we have once again seen the Government’s true colours. They have ridden roughshod over the principle of devolution by taking away control from Wales and Scotland to determine how money can best be spent in their nations, and devised a rating system that miraculously sees the Chancellor’s own constituency, and that of the Communities Secretary, placed at the front of the queue for funding. What people right across this country need is investment in their communities, based on local need, guaranteeing local opportunities and jobs and involving local businesses in the supply chain — not largesse handed out at the whim of Conservative Ministers in Whitehall.Eight freeports do not add up to a grand plan for our economic future. They are not the silver bullet that the Chancellor would like them to be. There is a strong chance that they do not create new economic activity overall, but instead just move it around, which might be good news for those within a freeport area, but could be bad news for those who live nearby and see local economic activity drain away, and with it jobs and opportunities. We risk more regional economic inequality, which has already risen after 10 years of Conservative Government. On the subject of inequality, yet again the Government failed to provide an equality impact assessment alongside the Budget.The British people deserve better than this. They deserved a Budget to put our country on the road to recovery; a Budget to rebuild the foundations of our economy; a Budget with the NHS and social care at its heart; a Budget that protected the finances of families across the country who have sacrificed so much over the last 12 months; and a Budget with a relentless focus on jobs, getting people back into work and supporting the jobs of the future — not a Budget from a Chancellor without a plan who has learned nothing from the last year, nor the last decade, and who did nothing more than paper over the cracks, with nothing more to offer than the same tired policies that have led to us suffering the worst economic crisis of any major economy.",25618,Anneliese,Dodds,04/03/2021,Labour/Co-operative,Oxford East,1
text65853,"Many businesses in Vauxhall will be feeling cautiously optimistic after hearing yesterday’s plan for reopening the economy. Here in Vauxhall, our economy is dependent on the hospitality, tourism and entertainment sectors, and is supported by many small, independent businesses that provide auxiliary services to residents and the millions of visitors we normally welcome every year. From this afternoon’s contributions, we have heard that this pandemic has created winners and losers. Vauxhall has been hit particularly hard because of the nature of our economy and the supporting workforce. The gradual lifting of restrictions will not see an immediate return to business as usual. It will take time for tourists to come back along the south bank, to Brixton, to Stockwell and to Oval, and for local people to feel 100% comfortable about socialising in public again. But Vauxhall’s businesses do not have time. They are struggling to stay afloat after a year of stop-start lockdowns and gaps in Government support.As we look ahead to next week’s Budget, I urge the Chancellor not to withdraw support too quickly and not to adopt a one-size-fits-all approach to recovery. It makes no economic sense for businesses to be supported all the way through lockdown only to have that support withdrawn once restrictions are lifted. I call on the Chancellor to make sure that this support is sector-specific and tailored to meet the needs of each and every one of our businesses to ensure that we have a fair and resilient national economic lockdown.",25759,Florence,Eshalomi,23/02/2021,Labour/Co-operative,Vauxhall,3
text17285,"Thank you, Mr Speaker. I have been asked to respond on behalf of my right hon. Friend the Prime Minister, and I am pleased to tell the House that he is making a good recovery and is in good spirits.The coronavirus pandemic presents us with one of the biggest challenges we have faced as a country in decades. Our message to the British public is clear: please stay at home to protect the NHS and save lives. As a Government, we continue to take the right measures at the right time, guided by the science and the medical experts. I pay tribute to the enormous contribution that our NHS and other frontline workers have made to tackling the virus. We owe them an enormous debt of gratitude, and we will continue to do whatever it takes to support them. Our aim has always been to protect the  NHS and save lives, and with the public’s incredible support, we are doing that by flattening the peak of this virus.I thank you, Mr Speaker, for all your efforts to ensure that Parliament can meet and apply the scrutiny to Government that we expect and embrace. The House meets in challenging times. Together we can and will defeat this virus.",24815,Dominic,Raab,22/04/2020,Conservative,Esher and Walton,1
text22047,"I will not, because I have only 30 seconds left. The House has not had the opportunity to decide whether the restrictions on protest are a proportionate mechanism for dealing with the coronavirus. So I ask the Leader of the House to make sure that these two sets of regulations are debated and voted on by this House at the earliest possible opportunity. May I also suggest that, if the Secretary of State makes any further amendments, he does not use the power to do so without this House having had the opportunity to take that decision itself?",11588,Mark,Harper,08/06/2020,Conservative,Forest of Dean,3
text65411,"May I congratulate all the staff and volunteers, particularly at the Bosden Moor surgery in Offerton in my constituency, where I had the privilege of joining them as a marshal for the car park on Friday afternoon as they administered over 500 vaccines? My right hon. Friend says he is led by the data, not the dates, yet his statement outlines many dates, so will he commit to publishing the thresholds of data that will determine the easing of lockdown measures?",25360,William,Wragg,22/02/2021,Conservative,Hazel Grove,3
